date_treatment,id_mere,diet,density,boite_petri,Id_adulte,date_adulte,sex,forceps_L,pronotum
27-01-2025,SG9FN,GOOD,4,105,RTJAW,21-03-2025,male,5.951,1.623
27-01-2025,SG9FN,GOOD,4,105,HLIMF,24-03-2025,male,5.076,1.693
27-01-2025,SG9FN,GOOD,4,105,FGGKJ,28-03-2025,femelle,3.239,1.664
27-01-2025,BYZ03,POOR,1,107,,,,,
27-01-2025,BYZ03,POOR,1,108,,,,,
27-01-2025,BYZ03,POOR,4,111,PHFRT,08-04-2025,femelle,3.346,1.62
27-01-2025,BYZ03,POOR,4,112,,,,,
27-01-2025,BYZ03,POOR,4,112,,,,,
27-01-2025,BYZ03,POOR,4,113,,,,,
27-01-2025,BYZ03,POOR,4,113,,,,,
27-01-2025,BYZ03,POOR,8,115,WBUSJ,10-04-2025,femelle,3.287,1.731
27-01-2025,BYZ03,GOOD,1,116,KALQU,27-03-2025,femelle,3.888,1.751
27-01-2025,BYZ03,GOOD,1,117,MXOAP,24-03-2025,femelle,3.979,1.832
27-01-2025,BYZ03,GOOD,4,119,TMQEK,20-03-2025,femelle,2.944,1.773
27-01-2025,BYZ03,GOOD,4,120,ELFUV,31-03-2025,male,6.198,1.919
27-01-2025,BYZ03,GOOD,8,122,GKRRE,19-03-2025,femelle,3.731,1.732
27-01-2025,BYZ03,GOOD,8,122,DGOLO,19-03-2025,male,5.987,1.52
27-01-2025,BYZ03,GOOD,8,122,LURHO,20-03-2025,male,3.979,1.664
27-01-2025,BYZ03,GOOD,8,122,WHBMQ,20-03-2025,male,6.104,1.88
27-01-2025,BYZ03,GOOD,8,122,WNHTF,21-03-2025,male,4.791,1.802
27-01-2025,BYZ03,GOOD,8,122,CCNJO,24-03-2025,male,7.552,1.656
27-01-2025,BYZ03,GOOD,8,122,ITHDP,24-03-2025,male,4.759,1.591
27-01-2025,SIWSA,POOR,1,123,XHXAH,09-04-2025,male,3.755,1.613
27-01-2025,SIWSA,POOR,1,123,,,,,
27-01-2025,SIWSA,POOR,1,124,,,,,
27-01-2025,SIWSA,POOR,4,127,YHYCW,02-04-2025,male,4.331,1.671
27-01-2025,SIWSA,POOR,4,127,RAWCL,02-04-2025,male,4.203,1.727
27-01-2025,SIWSA,POOR,8,128,VLFXE,04-04-2025,femelle,3.673,1.597
